新ID,,,,ENE,,,正例,負例,代表的な定義語,普通名詞フラグ,ENE英語表記,定義文,Definition,属性定義の有無,,注意事項用メモ,
1,,,,名前,,,,,,,Name,名前。具象・抽象をふくめた「存在」「ものごと」についている名前。 ,"A name. A word or set of words by which a person, thing, matter or abstract concept is known, addressed, or referred to.",,,,
1,0,,,名前＿その他,,,,,名前,,Name_Other,名前のうち、その下位クラスに属さないもの。,A name (1 Name) that does not belong to any of the other subordinate categories (1.1 - 1.11).,,,,
1,1,,,人名,,,"福沢諭吉,  エドガー・アラン・ポー,  春日局,  R・ゼーリック,  いがらし・こうぞう,  岡本文弥,  長門美保,  武帝,  葛飾北斎

キョンキョン,  キムタク,  イチロー,  エリザベスII世,  ゴジラ（松井）,  あっちゃん

第十四代木村庄之助,  清少納言","田中(→  ＣＯＮＣＥＰＴ)

ポパイ(→ キャラクター名),  浦島太郎(→ キャラクター名),  寅さん(→ キャラクター名)","人物,  政治家,  俳優,  サッカー選手,  武将",,Person,"人の名前。
人名の読み仮名や、ニックネーム、しこな等、個人が特定できるもの、伝説上の人物を含む。
創作されたことが明らかな人物(小説、映画、漫画等の登場人物)は含まない。","A name of a real person. 
This includes a legendary person whose existence is questionable, and a common name or nickname that constitutes the distinctive designation of a person. 
This does not include a fictional character in a work (such as novel, play, or film).",1,,,
1,2,,,神名,,,"アテネ,  インドラ,  ゼウス,  ヘラクレス,  大国主命,  帝釈天,  少彦名命,  大日如来,  韋駄天","守り神(→ ＣＯＮＣＥＰＴ),  女神(→ ＣＯＮＣＥＰＴ),  現人神(→ ＣＯＮＣＥＰＴ),  八百万の神(→ ＣＯＮＣＥＰＴ)

ラファエル(天使の名前→ キャラクター名),  アルセイス(ニンフ→キャラクター名),  
ブラウニー(妖精→空想生物名),  イフリート(精霊→空想生物名)","神,  仏,  一柱,  一尊",,God,"神仏の名前。
妖精、精霊、ニンフは含まない。","A name of a deity, like a god or goddess. 
This does not include a fairy, genie, or nymph. ",1,,,
1,3,,,生物呼称名,,,,,,,Individual_Living_Thing,個々の生物につけられた名前。生物学的な分類を除く。,"A name of an individual living thing. 
This does not include a taxonomic name used for the classification of organisms.",,,,
1,3,0,,生物呼称名,生物呼称名＿その他,,,,,,Individual_Living_Thing_Other,"生物呼称名のうち、その下位クラスに属さないもの。
生物学的な分類を除く。","A name of an individual living thing (1.3 Individual_Living_Thing) that does not belong to any of the other subordinate categories (1.3.1 - 1.3.2).
This does not include a taxonomic name used for the classification of organisms.",,,,
1,3,1,,,動物呼称名,,,,,,Individual_Animal,"個々の動物に付けられた名前。
生物学的な分類を除く。","A name of an individual animal. 
This does not include a taxonomic name used for the classification of organisms.",,,,
1,3,1,0,,動物呼称名,動物呼称名＿その他,"たま,  ポチ,  トントン","ゴールデンレトリバー(→ 哺乳類名),  カクレクマノミ(→ 魚類名)

ネッシー(→  架空生物名)","犬,  チンパンジー,  ゾウ",,Individual_Animal_Other,"動物呼称名のうち、その下位クラスに属さないもの。
",A name of an individual animal (1.3.1 Individual_Animal) that does not belong to the other subordinate category (1.3.1.1 Racehorse).,1,,,
1,3,1,1,,,競走馬名,"オグリキャップ,  ディープインパクト,  トウカイテイオー

ナスルーラ系(競走馬の血統)",競走馬(→ ＣＯＮＣＥＰＴ ),"競走馬,  種牡馬,  繁殖牝馬,  元競走馬,  サラブレッド",,Racehorse,個々の競走馬に付けられた名前。,A name of an individual racehorse. ,1,,,
1,3,2,,,植物呼称名,,"富田の一本松,  練馬白山神社の大ケヤキ,  ロイヤル・オーク",バラ(→ 植物名),"巨木,  木,  古木,  桜",,Individual_Flora,"個々の植物に付けられた名前。
生物学的な分類を除く。","A name of an indivual flora. 
This does not include a taxonomic name used for the classification of organisms. ",1,,,
